author/repo,name,url,language,license,size
200ok-ch/org-parser,org-parser,https://github.com/200ok-ch/org-parser,Org,AGPL-3.0-only,14.08 MiB
200ok-ch/organice,organice,https://github.com/200ok-ch/organice,JavaScript,AGPL-3.0-only,1.73 MiB
5digits/dactyl,dactyl,https://github.com/5digits/dactyl,JavaScript,MIT,2.60 MiB
7theta/clj-nmap,clj-nmap,https://github.com/7theta/clj-nmap,Clojure,EPL-1.0,22.67 KiB
ACloudGuru/gcp-cloud-engineer,gcp-cloud-engineer,https://github.com/ACloudGuru/gcp-cloud-engineer,Sh,Apache-2.0,20.59 KiB
AIIAL/GPT-3-Leukemia-Information-Assistant,GPT-3-Leukemia-Information-Assistant,https://github.com/AIIAL/GPT-3-Leukemia-Information-Assistant,Python,MIT,1.93 MiB
AIx-Solutions/aix-gpt-api,aix-gpt-api,https://github.com/AIx-Solutions/aix-gpt-api,Python,MIT,12.51 KiB
AdnanHodzic/displaylink-debian,displaylink-debian,https://github.com/AdnanHodzic/displaylink-debian,Sh,GPL-3.0-only,69.03 KiB
Agurato/goceptron,goceptron,https://github.com/Agurato/goceptron,Go,GPL-3.0-only,11.27 MiB
Aleph-Alpha/aleph-alpha-client,aleph-alpha-client,https://github.com/Aleph-Alpha/aleph-alpha-client,Python,MIT,96.43 KiB
AlessandroMinoccheri/codeigniter-currency-converter,codeigniter-currency-converter,https://github.com/AlessandroMinoccheri/codeigniter-currency-converter,Php,MIT,74.22 KiB
Alexis-benoist/draw-compose,draw-compose,https://github.com/Alexis-benoist/draw-compose,Python,MIT,27.82 KiB
Alhadis/language-emacs-lisp,language-emacs-lisp,https://github.com/Alhadis/language-emacs-lisp,JavaScript,ISC,1.65 MiB
AllenDowney/ThinkPython2,ThinkPython2,https://github.com/AllenDowney/ThinkPython2,Tex,MIT,6.88 MiB
Andersbakken/rtags,rtags,https://github.com/Andersbakken/rtags,Cpp,GPL-3.0-only,2.47 MiB
AndreMiras/gitpop2,gitpop2,https://github.com/AndreMiras/gitpop2,JavaScript,GPL-2.0-only,820.25 KiB
AndreaCrotti/yasnippet-snippets,yasnippet-snippets,https://github.com/AndreaCrotti/yasnippet-snippets,Elisp,GPL-3.0-only,233.85 KiB
AndrewPaxie/stt-parser-combinators,stt-parser-combinators,https://github.com/AndrewPaxie/stt-parser-combinators,Cpp,MIT,35.23 KiB
ApexAI/ade-cli,ade-cli,git@gitlab.com:ApexAI/ade-cli.git,Python,Apache-2.0,250.82 KiB
Appleseed/search-stack,search-stack,https://github.com/Appleseed/search-stack,Xml,Apache-2.0,414.71 KiB
ArthurSonzogni/Diagon,Diagon,https://github.com/ArthurSonzogni/Diagon,Java,MIT,395.69 KiB
AsamK/signal-cli,signal-cli,https://github.com/AsamK/signal-cli,Java,GPL-3.0-only,910.37 KiB
AstroCB/Messenger-CLI,Messenger-CLI,https://github.com/AstroCB/Messenger-CLI,JavaScript,MIT,164.85 KiB
Avi-D-coder/implicit-hie,implicit-hie,https://github.com/Avi-D-coder/implicit-hie,Haskell,BSD-3-Clause,46.61 KiB
Azure/actions-workflow-samples,actions-workflow-samples,https://github.com/Azure/actions-workflow-samples,Css,MIT,2.34 MiB
BCG-Gamma/facet,facet,https://github.com/BCG-Gamma/facet,Python,Apache-2.0,4.48 MiB
BenLubar/df-ai,df-ai,https://github.com/BenLubar/df-ai,Cpp,Zlib,1.10 MiB
BibleJS/BibleApp,BibleApp,https://github.com/BibleJS/BibleApp,JavaScript,MIT,36.32 KiB
BillMills/python-package-example,python-package-example,https://github.com/BillMills/python-package-example,Python,MIT,2.09 MiB
Bios-Marcel/cordless,cordless,https://github.com/Bios-Marcel/cordless,Go,BSD-3-Clause,1.72 MiB
BitFunnel/BitFunnel,BitFunnel,https://github.com/BitFunnel/BitFunnel,Cpp,MIT,17.99 MiB
